date,state,cases,deaths
2020-03-18,SE,1,0
2020-03-19,SE,1,0
2020-03-20,SE,2,0
2020-03-21,SE,3,0
2020-03-22,SE,3,0
2020-03-23,SE,3,0
2020-03-24,SE,3,0
2020-03-25,SE,3,0
2020-03-26,SE,3,0
2020-03-27,SE,3,0
2020-03-28,SE,3,0
2020-03-29,SE,3,0
2020-03-30,SE,3,0
2020-03-31,SE,3,0
2020-04-01,SE,3,0
2020-04-02,SE,4,0
2020-04-03,SE,4,0
2020-04-04,SE,5,0
2020-04-05,SE,5,0
2020-04-06,SE,5,0
2020-04-07,SE,6,0
2020-04-08,SE,7,0
2020-04-09,SE,8,0
2020-04-10,SE,9,0
2020-04-11,SE,9,0
2020-04-12,SE,9,0
2020-04-13,SE,9,0
2020-04-14,SE,9,0
2020-04-15,SE,11,0
2020-04-16,SE,13,0
2020-04-17,SE,14,0
2020-04-18,SE,19,1
2020-04-19,SE,27,1
2020-04-20,SE,32,1
2020-04-21,SE,43,2
2020-04-22,SE,44,2
2020-04-23,SE,49,3
2020-04-24,SE,50,3
2020-04-25,SE,55,3
2020-04-26,SE,60,3
2020-04-27,SE,73,4
2020-04-28,SE,91,4
2020-04-29,SE,148,5
2020-04-30,SE,156,7
2020-05-01,SE,178,7
2020-05-02,SE,215,7
2020-05-03,SE,263,7
2020-05-04,SE,269,9
2020-05-05,SE,299,13
2020-05-06,SE,328,13
2020-05-07,SE,382,15
2020-05-08,SE,428,17
2020-05-09,SE,476,20
2020-05-10,SE,534,21
2020-05-11,SE,548,24
2020-05-12,SE,619,24
2020-05-13,SE,704,27
2020-05-14,SE,777,29
2020-05-15,SE,1006,31
2020-05-16,SE,1103,33
2020-05-17,SE,1235,34
2020-05-18,SE,1321,35
2020-05-19,SE,1494,36
2020-05-20,SE,1615,40
2020-05-21,SE,1891,43
2020-05-22,SE,1982,44
2020-05-23,SE,2065,45
2020-05-24,SE,2148,49
2020-05-25,SE,2209,55
2020-05-26,SE,2329,62
2020-05-27,SE,2420,70
2020-05-28,SE,2533,76
2020-05-29,SE,2678,77
2020-05-30,SE,2861,81
2020-05-31,SE,2938,87
2020-06-01,SE,3043,91
2020-06-02,SE,3155,93
2020-06-03,SE,3407,97
2020-06-04,SE,3509,101
2020-06-05,SE,3637,108
2020-06-06,SE,3849,114
2020-06-07,SE,3994,119
2020-06-08,SE,4155,127
2020-06-09,SE,4311,139
2020-06-10,SE,4536,145
2020-06-11,SE,4734,155
2020-06-12,SE,4841,171
2020-06-13,SE,5385,174
2020-06-14,SE,5775,181
2020-06-15,SE,6288,198
2020-06-16,SE,6461,204
2020-06-17,SE,6713,218
2020-06-18,SE,6915,227
2020-06-19,SE,7109,245
2020-06-20,SE,7457,253
2020-06-21,SE,7715,261
2020-06-22,SE,7908,280
2020-06-23,SE,8101,295
2020-06-24,SE,8391,301
2020-06-25,SE,8719,318
2020-06-26,SE,9059,332
2020-06-27,SE,9704,349
2020-06-28,SE,10170,359
2020-06-29,SE,10331,381
2020-06-30,SE,10597,390
2020-07-01,SE,11495,424
2020-07-02,SE,11231,410
2020-07-03,SE,12151,437
2020-07-04,SE,12906,447
2020-07-05,SE,13118,456
2020-07-06,SE,13322,470
2020-07-07,SE,13931,487
2020-07-08,SE,14451,502
2020-07-09,SE,15047,521
2020-07-10,SE,15823,541
2020-07-11,SE,16408,556
2020-07-12,SE,17071,574
2020-07-13,SE,17337,591
2020-07-14,SE,17960,604
2020-07-15,SE,18590,621
2020-07-16,SE,19310,634
2020-07-17,SE,19739,645
2020-07-18,SE,20357,662
2020-07-19,SE,21243,671
2020-07-20,SE,21707,691
2020-07-21,SE,22369,705
2020-07-22,SE,23049,726
2020-07-23,SE,23908,747
2020-07-24,SE,25643,784
2020-07-25,SE,25693,796
2020-07-26,SE,25784,804
2020-07-27,SE,26422,818
2020-07-28,SE,27535,834
2020-07-29,SE,28326,856
2020-07-30,SE,29309,871
2020-07-31,SE,29939,890
2020-08-01,SE,30561,900
2020-08-02,SE,30705,912
2020-08-03,SE,30876,925
2020-08-04,SE,31335,935
2020-08-05,SE,32097,946
2020-08-06,SE,33592,974
2020-08-07,SE,33418,969
2020-08-08,SE,33842,983
2020-08-09,SE,34140,988
2020-08-10,SE,34257,1003
2020-08-11,SE,34660,1015
2020-08-12,SE,34964,1027
2020-08-13,SE,35671,1040
2020-08-14,SE,35953,1052
2020-08-15,SE,36229,1062
