date,state,city,cases,deaths
2020-02-25,SP,São Paulo/SP,1,0
2020-02-26,SP,São Paulo/SP,1,0
2020-02-27,SP,São Paulo/SP,1,0
2020-02-28,SP,São Paulo/SP,2,0
2020-02-29,SP,São Paulo/SP,2,0
2020-03-01,SP,São Paulo/SP,2,0
2020-03-02,SP,São Paulo/SP,2,0
2020-03-03,SP,São Paulo/SP,2,0
2020-03-04,SP,São Paulo/SP,3,0
2020-03-05,SP,São Paulo/SP,6,0
2020-03-06,SP,São Paulo/SP,6,0
2020-03-07,SP,São Paulo/SP,12,0
2020-03-08,SP,São Paulo/SP,15,0
2020-03-09,SP,São Paulo/SP,15,0
2020-03-10,SP,São Paulo/SP,18,0
2020-03-11,SP,São Paulo/SP,29,0
2020-03-12,SP,São Paulo/SP,44,0
2020-03-13,SP,São Paulo/SP,44,0
2020-03-14,SP,São Paulo/SP,62,0
2020-03-15,SP,São Paulo/SP,62,0
2020-03-16,SP,São Paulo/SP,145,0
2020-03-17,SP,São Paulo/SP,156,1
2020-03-18,SP,São Paulo/SP,214,3
2020-03-19,SP,São Paulo/SP,259,5
2020-03-20,SP,São Paulo/SP,306,9
2020-03-21,SP,São Paulo/SP,306,9
2020-03-22,SP,São Paulo/SP,306,9
2020-03-23,SP,São Paulo/SP,306,9
2020-03-24,SP,São Paulo/SP,306,9
2020-03-25,SP,São Paulo/SP,722,44
2020-03-26,SP,São Paulo/SP,899,53
2020-03-27,SP,São Paulo/SP,1044,62
2020-03-28,SP,São Paulo/SP,1044,62
2020-03-29,SP,São Paulo/SP,1044,62
2020-03-30,SP,São Paulo/SP,1233,103
2020-03-31,SP,São Paulo/SP,1885,121
2020-04-01,SP,São Paulo/SP,2418,144
2020-04-02,SP,São Paulo/SP,2815,164
2020-04-03,SP,São Paulo/SP,3202,186
2020-04-04,SP,São Paulo/SP,3496,212
2020-04-05,SP,São Paulo/SP,3612,220
2020-04-06,SP,São Paulo/SP,3754,244
2020-04-07,SP,São Paulo/SP,4258,296
2020-04-08,SP,São Paulo/SP,4947,339
2020-04-09,SP,São Paulo/SP,5477,384
2020-04-10,SP,São Paulo/SP,5982,409
2020-04-11,SP,São Paulo/SP,6131,422
2020-04-12,SP,São Paulo/SP,6352,445
2020-04-13,SP,São Paulo/SP,6418,456
2020-04-14,SP,São Paulo/SP,6705,512
2020-04-15,SP,São Paulo/SP,7764,558
2020-04-16,SP,São Paulo/SP,7908,603
2020-04-17,SP,São Paulo/SP,8744,643
2020-04-18,SP,São Paulo/SP,9428,686
2020-04-19,SP,São Paulo/SP,9668,700
2020-04-20,SP,São Paulo/SP,9815,715
2020-04-21,SP,São Paulo/SP,10342,753
2020-04-22,SP,São Paulo/SP,10691,778
2020-04-23,SP,São Paulo/SP,11225,912
2020-04-24,SP,São Paulo/SP,11800,1010
2020-04-25,SP,São Paulo/SP,13098,1099
2020-04-26,SP,São Paulo/SP,13513,1114
2020-04-27,SP,São Paulo/SP,13989,1172
2020-04-28,SP,São Paulo/SP,15397,1321
2020-04-29,SP,São Paulo/SP,16638,1439
2020-04-30,SP,São Paulo/SP,18149,1522
2020-05-01,SP,São Paulo/SP,19087,1607
2020-05-02,SP,São Paulo/SP,19494,1661
2020-05-03,SP,São Paulo/SP,19822,1673
2020-05-04,SP,São Paulo/SP,20073,1683
2020-05-05,SP,São Paulo/SP,21140,1801
2020-05-06,SP,São Paulo/SP,23187,1910
2020-05-07,SP,São Paulo/SP,24273,1986
2020-05-08,SP,São Paulo/SP,25367,2110
2020-05-09,SP,São Paulo/SP,26787,2223
2020-05-10,SP,São Paulo/SP,27307,2266
