date,state,cases,deaths
2020-02-25,SP,1,0
2020-02-26,SP,1,0
2020-02-27,SP,1,0
2020-02-28,SP,2,0
2020-02-29,SP,2,0
2020-03-01,SP,2,0
2020-03-02,SP,2,0
2020-03-03,SP,2,0
2020-03-04,SP,3,0
2020-03-05,SP,6,0
2020-03-06,SP,10,0
2020-03-07,SP,13,0
2020-03-08,SP,16,0
2020-03-09,SP,16,0
2020-03-10,SP,19,0
2020-03-11,SP,30,0
2020-03-12,SP,46,0
2020-03-13,SP,56,0
2020-03-14,SP,65,0
2020-03-15,SP,136,0
2020-03-16,SP,152,0
2020-03-17,SP,164,1
2020-03-18,SP,241,4
2020-03-19,SP,286,5
2020-03-20,SP,396,9
2020-03-21,SP,459,15
2020-03-22,SP,631,22
2020-03-23,SP,745,30
2020-03-24,SP,810,40
2020-03-25,SP,862,48
2020-03-26,SP,1053,58
2020-03-27,SP,1223,68
2020-03-28,SP,1406,84
2020-03-29,SP,1451,98
2020-03-30,SP,1517,113
2020-03-31,SP,2339,136
2020-04-01,SP,2981,164
2020-04-02,SP,3506,188
2020-04-03,SP,4048,219
2020-04-04,SP,4466,260
2020-04-05,SP,4620,275
2020-04-06,SP,4866,304
2020-04-07,SP,5682,371
2020-04-08,SP,6708,428
2020-04-09,SP,7480,496
2020-04-10,SP,8216,540
2020-04-11,SP,8419,560
2020-04-12,SP,8755,588
2020-04-13,SP,8895,608
2020-04-14,SP,9371,695
2020-04-15,SP,11043,778
2020-04-16,SP,11568,853
2020-04-17,SP,12841,928
2020-04-18,SP,13894,991
2020-04-19,SP,14267,1015
2020-04-20,SP,14580,1037
2020-04-21,SP,15385,1093
2020-04-22,SP,15914,1134
2020-04-23,SP,16740,1345
2020-04-24,SP,17826,1512
2020-04-25,SP,20004,1667
2020-04-26,SP,20715,1700
2020-04-27,SP,21696,1825
2020-04-28,SP,24041,2049
2020-04-29,SP,26158,2247
2020-04-30,SP,28698,2375
2020-05-01,SP,30374,2511
2020-05-02,SP,31174,2586
2020-05-03,SP,31772,2627
2020-05-04,SP,32187,2654
2020-05-05,SP,34053,2851
2020-05-06,SP,37853,3045
2020-05-07,SP,39928,3206
2020-05-08,SP,41830,3416
2020-05-09,SP,44411,3608
2020-05-10,SP,45444,3709
2020-05-11,SP,46131,3743
2020-05-12,SP,47719,3949
2020-05-13,SP,51097,4118
2020-05-14,SP,54286,4315
2020-05-15,SP,58378,4501
2020-05-16,SP,61183,4688
2020-05-17,SP,62345,4782
2020-05-18,SP,63066,4823
2020-05-19,SP,65995,5147
2020-05-20,SP,69859,5363
2020-05-21,SP,73739,5558
2020-05-22,SP,76871,5773
2020-05-23,SP,80558,6045
2020-05-24,SP,82161,6163
2020-05-25,SP,83625,6220
2020-05-26,SP,86017,6423
2020-05-27,SP,89483,6712
2020-05-28,SP,95865,6980
2020-05-29,SP,101556,7275
2020-05-30,SP,107142,7532
2020-05-31,SP,109698,7615
2020-06-01,SP,111296,7667
2020-06-02,SP,118295,7994
2020-06-03,SP,123483,8276
2020-06-04,SP,129200,8561
2020-06-05,SP,134565,8842
2020-06-06,SP,140549,9058
2020-06-07,SP,143073,9145
2020-06-08,SP,144593,9188
2020-06-09,SP,150138,9522
2020-06-10,SP,156316,9862
2020-06-11,SP,162520,10145
2020-06-12,SP,167900,10368
2020-06-13,SP,172875,10581
2020-06-14,SP,178202,10694
2020-06-15,SP,181460,10767
2020-06-16,SP,190285,11132
2020-06-17,SP,191517,11521
2020-06-18,SP,192628,11846
2020-06-19,SP,211658,12232
2020-06-20,SP,215793,12494
2020-06-21,SP,219185,12588
2020-06-22,SP,221973,12634
2020-06-23,SP,229475,13068
