date,state,cases,deaths
2020-03-06,SP,4,0
2020-03-07,SP,1,0
2020-03-08,SP,1,0
2020-03-09,SP,1,0
2020-03-10,SP,1,0
2020-03-11,SP,1,0
2020-03-12,SP,2,0
2020-03-13,SP,12,0
2020-03-14,SP,3,0
2020-03-15,SP,74,0
2020-03-16,SP,7,0
2020-03-17,SP,8,0
2020-03-18,SP,27,1
2020-03-19,SP,27,0
2020-03-20,SP,90,0
2020-03-21,SP,153,6
2020-03-22,SP,325,13
2020-03-23,SP,439,21
2020-03-24,SP,504,31
2020-03-25,SP,140,4
2020-03-26,SP,154,5
2020-03-27,SP,179,6
2020-03-28,SP,362,22
2020-03-29,SP,407,36
2020-03-30,SP,284,10
2020-03-31,SP,454,15
2020-04-01,SP,563,20
2020-04-02,SP,691,24
2020-04-03,SP,846,33
2020-04-04,SP,970,48
2020-04-05,SP,1008,55
2020-04-06,SP,1112,60
2020-04-07,SP,1424,75
2020-04-08,SP,1761,89
2020-04-09,SP,2003,112
2020-04-10,SP,2234,131
2020-04-11,SP,2288,138
2020-04-12,SP,2403,143
2020-04-13,SP,2477,152
2020-04-14,SP,2666,183
2020-04-15,SP,3279,220
2020-04-16,SP,3660,250
2020-04-17,SP,4097,285
2020-04-18,SP,4466,305
2020-04-19,SP,4599,315
2020-04-20,SP,4765,322
2020-04-21,SP,5043,340
2020-04-22,SP,5223,356
2020-04-23,SP,5515,433
2020-04-24,SP,6026,502
2020-04-25,SP,6906,568
2020-04-26,SP,7202,586
2020-04-27,SP,7707,653
2020-04-28,SP,8644,728
2020-04-29,SP,9520,808
2020-04-30,SP,10549,853
2020-05-01,SP,11287,904
2020-05-02,SP,11680,925
2020-05-03,SP,11950,954
2020-05-04,SP,12114,971
2020-05-05,SP,12913,1050
2020-05-06,SP,14666,1135
2020-05-07,SP,15655,1220
2020-05-08,SP,16463,1306
2020-05-09,SP,17624,1385
2020-05-10,SP,18137,1443
2020-05-11,SP,18360,1462
2020-05-12,SP,19037,1544
2020-05-13,SP,20695,1624
2020-05-14,SP,22413,1719
2020-05-15,SP,24386,1827
2020-05-16,SP,25754,1896
2020-05-17,SP,26414,1947
2020-05-18,SP,26878,1967
2020-05-19,SP,28355,2118
2020-05-20,SP,30393,2228
2020-05-21,SP,32288,2320
2020-05-22,SP,33898,2421
2020-05-23,SP,35671,2554
2020-05-24,SP,36634,2629
2020-05-25,SP,37421,2665
2020-05-26,SP,38463,2732
2020-05-27,SP,40219,2886
2020-05-28,SP,43146,3022
2020-05-29,SP,45815,3159
2020-05-30,SP,48523,3293
2020-05-31,SP,49567,3335
2020-06-01,SP,50170,3363
2020-06-02,SP,53852,3551
2020-06-03,SP,56706,3712
2020-06-04,SP,59853,3886
2020-06-05,SP,63112,4037
2020-06-06,SP,66688,4157
2020-06-07,SP,68277,4225
2020-06-08,SP,68894,4251
2020-06-09,SP,72112,4449
2020-06-10,SP,75859,4630
2020-06-11,SP,79444,4788
2020-06-12,SP,82278,4888
2020-06-13,SP,84850,4982
2020-06-14,SP,87004,5071
2020-06-15,SP,88012,5115
2020-06-16,SP,92609,5313
