date,state,city,cases,deaths
2020-03-18,TO,Palmas/TO,1,0
2020-03-19,TO,Palmas/TO,1,0
2020-03-20,TO,Palmas/TO,1,0
2020-03-21,TO,Palmas/TO,2,0
2020-03-22,TO,Palmas/TO,5,0
2020-03-23,TO,Palmas/TO,7,0
2020-03-24,TO,Palmas/TO,7,0
2020-03-25,TO,Palmas/TO,7,0
2020-03-26,TO,Palmas/TO,8,0
2020-03-27,TO,Palmas/TO,8,0
2020-03-28,TO,Palmas/TO,8,0
2020-03-29,TO,Palmas/TO,9,0
2020-03-30,TO,Palmas/TO,9,0
2020-03-31,TO,Palmas/TO,9,0
2020-04-01,TO,Palmas/TO,9,0
2020-04-02,TO,Palmas/TO,9,0
2020-04-03,TO,Palmas/TO,10,0
2020-04-04,TO,Palmas/TO,11,0
2020-04-05,TO,Palmas/TO,12,0
2020-04-06,TO,Palmas/TO,13,0
2020-04-07,TO,Palmas/TO,13,0
2020-04-08,TO,Palmas/TO,15,0
2020-04-09,TO,Palmas/TO,15,0
2020-04-10,TO,Palmas/TO,15,0
2020-04-11,TO,Palmas/TO,15,0
2020-04-12,TO,Palmas/TO,16,0
2020-04-13,TO,Palmas/TO,16,0
2020-04-14,TO,Palmas/TO,17,0
2020-04-15,TO,Palmas/TO,19,1
2020-04-16,TO,Palmas/TO,21,1
2020-04-17,TO,Palmas/TO,22,1
2020-04-18,TO,Palmas/TO,23,1
2020-04-19,TO,Palmas/TO,24,1
2020-04-20,TO,Palmas/TO,25,1
2020-04-21,TO,Palmas/TO,25,1
2020-04-22,TO,Palmas/TO,25,1
2020-04-23,TO,Palmas/TO,28,1
2020-04-24,TO,Palmas/TO,30,1
2020-04-25,TO,Palmas/TO,31,1
2020-04-26,TO,Palmas/TO,33,1
2020-04-27,TO,Palmas/TO,37,1
2020-04-28,TO,Palmas/TO,48,1
2020-04-29,TO,Palmas/TO,54,2
2020-04-30,TO,Palmas/TO,61,2
2020-05-01,TO,Palmas/TO,66,2
2020-05-02,TO,Palmas/TO,83,2
2020-05-03,TO,Palmas/TO,87,2
2020-05-04,TO,Palmas/TO,99,2
2020-05-05,TO,Palmas/TO,102,2
2020-05-06,TO,Palmas/TO,124,2
2020-05-07,TO,Palmas/TO,141,2
2020-05-08,TO,Palmas/TO,152,2
2020-05-09,TO,Palmas/TO,158,2
2020-05-10,TO,Palmas/TO,163,2
2020-05-11,TO,Palmas/TO,177,2
2020-05-12,TO,Palmas/TO,198,3
2020-05-13,TO,Palmas/TO,211,3
2020-05-14,TO,Palmas/TO,234,3
2020-05-15,TO,Palmas/TO,249,3
2020-05-16,TO,Palmas/TO,263,3
2020-05-17,TO,Palmas/TO,300,3
2020-05-18,TO,Palmas/TO,316,4
2020-05-19,TO,Palmas/TO,333,4
2020-05-20,TO,Palmas/TO,348,4
2020-05-21,TO,Palmas/TO,372,4
2020-05-22,TO,Palmas/TO,391,4
2020-05-23,TO,Palmas/TO,391,4
2020-05-24,TO,Palmas/TO,414,5
2020-05-25,TO,Palmas/TO,414,5
2020-05-26,TO,Palmas/TO,425,6
2020-05-27,TO,Palmas/TO,498,7
2020-05-28,TO,Palmas/TO,498,7
2020-05-29,TO,Palmas/TO,532,7
2020-05-30,TO,Palmas/TO,578,7
2020-05-31,TO,Palmas/TO,601,7
2020-06-01,TO,Palmas/TO,611,8
2020-06-02,TO,Palmas/TO,642,8
2020-06-03,TO,Palmas/TO,665,8
2020-06-04,TO,Palmas/TO,725,8
2020-06-05,TO,Palmas/TO,725,8
2020-06-06,TO,Palmas/TO,763,8
2020-06-07,TO,Palmas/TO,793,8
2020-06-08,TO,Palmas/TO,835,9
2020-06-09,TO,Palmas/TO,880,10
2020-06-10,TO,Palmas/TO,908,10
2020-06-11,TO,Palmas/TO,922,10
2020-06-12,TO,Palmas/TO,967,11
2020-06-13,TO,Palmas/TO,977,11
2020-06-14,TO,Palmas/TO,997,12
2020-06-15,TO,Palmas/TO,1045,12
2020-06-16,TO,Palmas/TO,1085,12
2020-06-17,TO,Palmas/TO,1138,12
2020-06-18,TO,Palmas/TO,1186,12
2020-06-19,TO,Palmas/TO,1262,13
2020-06-20,TO,Palmas/TO,1302,15
2020-06-21,TO,Palmas/TO,1320,15
2020-06-22,TO,Palmas/TO,1381,15
2020-06-23,TO,Palmas/TO,1427,15
2020-06-24,TO,Palmas/TO,1504,15
2020-06-25,TO,Palmas/TO,1558,16
2020-06-26,TO,Palmas/TO,1650,16
2020-06-27,TO,Palmas/TO,1675,16
2020-06-28,TO,Palmas/TO,1719,17
2020-06-29,TO,Palmas/TO,1781,19
2020-06-30,TO,Palmas/TO,1884,19
2020-07-01,TO,Palmas/TO,1953,20
2020-07-02,TO,Palmas/TO,2046,20
2020-07-03,TO,Palmas/TO,2146,20
2020-07-04,TO,Palmas/TO,2206,22
2020-07-05,TO,Palmas/TO,2236,22
2020-07-06,TO,Palmas/TO,2351,22
2020-07-07,TO,Palmas/TO,2484,22
2020-07-08,TO,Palmas/TO,2601,22
2020-07-09,TO,Palmas/TO,2676,23
2020-07-10,TO,Palmas/TO,2835,25
2020-07-11,TO,Palmas/TO,2863,26
2020-07-12,TO,Palmas/TO,2938,26
2020-07-13,TO,Palmas/TO,3058,26
2020-07-14,TO,Palmas/TO,3164,26
2020-07-15,TO,Palmas/TO,3304,26
2020-07-16,TO,Palmas/TO,3439,26
2020-07-17,TO,Palmas/TO,3514,27
2020-07-18,TO,Palmas/TO,3605,28
2020-07-19,TO,Palmas/TO,3621,28
2020-07-20,TO,Palmas/TO,3737,29
2020-07-21,TO,Palmas/TO,3890,29
2020-07-22,TO,Palmas/TO,4056,31
2020-07-23,TO,Palmas/TO,4189,31
2020-07-24,TO,Palmas/TO,4349,33
2020-07-25,TO,Palmas/TO,4503,33
2020-07-26,TO,Palmas/TO,4609,33
2020-07-27,TO,Palmas/TO,4821,34
2020-07-28,TO,Palmas/TO,4963,36
2020-07-29,TO,Palmas/TO,5115,37
2020-07-30,TO,Palmas/TO,5367,39
2020-07-31,TO,Palmas/TO,5504,42
2020-08-01,TO,Palmas/TO,5711,44
2020-08-02,TO,Palmas/TO,5770,47
2020-08-03,TO,Palmas/TO,5914,49
2020-08-04,TO,Palmas/TO,6051,49
2020-08-05,TO,Palmas/TO,6395,54
2020-08-06,TO,Palmas/TO,6606,55
2020-08-07,TO,Palmas/TO,6819,55
2020-08-08,TO,Palmas/TO,7012,57
2020-08-09,TO,Palmas/TO,7164,58
2020-08-10,TO,Palmas/TO,7378,60
2020-08-11,TO,Palmas/TO,7634,60
2020-08-12,TO,Palmas/TO,7802,60
2020-08-13,TO,Palmas/TO,8222,62
2020-08-14,TO,Palmas/TO,8453,63
2020-08-15,TO,Palmas/TO,8676,63
2020-08-16,TO,Palmas/TO,9173,63
2020-08-17,TO,Palmas/TO,9320,65
2020-08-18,TO,Palmas/TO,9568,65
2020-08-19,TO,Palmas/TO,9923,68
2020-08-20,TO,Palmas/TO,10315,68
2020-08-21,TO,Palmas/TO,10505,73
2020-08-22,TO,Palmas/TO,10806,74
2020-08-23,TO,Palmas/TO,11015,76
2020-08-24,TO,Palmas/TO,11222,78
2020-08-25,TO,Palmas/TO,11434,82
2020-08-26,TO,Palmas/TO,11584,82
2020-08-27,TO,Palmas/TO,11910,85
2020-08-28,TO,Palmas/TO,12148,88
2020-08-29,TO,Palmas/TO,12390,90
2020-08-30,TO,Palmas/TO,12460,90
2020-08-31,TO,Palmas/TO,12637,91
2020-09-01,TO,Palmas/TO,12743,95
2020-09-02,TO,Palmas/TO,12944,99
2020-09-03,TO,Palmas/TO,13194,104
2020-09-04,TO,Palmas/TO,13436,109
2020-09-05,TO,Palmas/TO,13580,109
2020-09-06,TO,Palmas/TO,13753,109
2020-09-07,TO,Palmas/TO,13843,109
2020-09-08,TO,Palmas/TO,13941,109
2020-09-09,TO,Palmas/TO,14114,111
2020-09-10,TO,Palmas/TO,14229,115
2020-09-11,TO,Palmas/TO,14438,119
2020-09-12,TO,Palmas/TO,14514,119
2020-09-13,TO,Palmas/TO,14606,122
2020-09-14,TO,Palmas/TO,14722,124
2020-09-15,TO,Palmas/TO,14856,126
2020-09-16,TO,Palmas/TO,14951,127
2020-09-17,TO,Palmas/TO,15170,127
2020-09-18,TO,Palmas/TO,15294,134
2020-09-19,TO,Palmas/TO,15360,134
2020-09-20,TO,Palmas/TO,15400,134
2020-09-21,TO,Palmas/TO,15544,137
2020-09-22,TO,Palmas/TO,15638,144
2020-09-23,TO,Palmas/TO,15728,144
2020-09-24,TO,Palmas/TO,15902,148
2020-09-25,TO,Palmas/TO,15966,148
2020-09-26,TO,Palmas/TO,15989,149
2020-09-27,TO,Palmas/TO,16051,150
2020-09-28,TO,Palmas/TO,16051,150
2020-09-29,TO,Palmas/TO,16297,155
2020-09-30,TO,Palmas/TO,16373,156
2020-10-01,TO,Palmas/TO,16441,158
2020-10-02,TO,Palmas/TO,16488,160
2020-10-03,TO,Palmas/TO,16507,160
2020-10-04,TO,Palmas/TO,16513,160
2020-10-05,TO,Palmas/TO,16559,159
2020-10-06,TO,Palmas/TO,16620,161
2020-10-07,TO,Palmas/TO,16680,163
2020-10-08,TO,Palmas/TO,16732,164
2020-10-09,TO,Palmas/TO,16795,165
2020-10-10,TO,Palmas/TO,16821,167
2020-10-11,TO,Palmas/TO,16849,167
2020-10-12,TO,Palmas/TO,16858,166
2020-10-13,TO,Palmas/TO,16900,168
2020-10-14,TO,Palmas/TO,16959,171
2020-10-15,TO,Palmas/TO,17012,173
2020-10-16,TO,Palmas/TO,17094,174
2020-10-17,TO,Palmas/TO,17115,174
2020-10-18,TO,Palmas/TO,17125,174
2020-10-19,TO,Palmas/TO,17200,175
2020-10-20,TO,Palmas/TO,17240,176
2020-10-21,TO,Palmas/TO,17294,183
2020-10-22,TO,Palmas/TO,17363,185
2020-10-23,TO,Palmas/TO,17421,185
2020-10-24,TO,Palmas/TO,17435,185
2020-10-25,TO,Palmas/TO,17453,185
2020-10-26,TO,Palmas/TO,17487,186
2020-10-27,TO,Palmas/TO,17555,187
2020-10-28,TO,Palmas/TO,17575,187
2020-10-29,TO,Palmas/TO,17649,188
2020-10-30,TO,Palmas/TO,17724,188
2020-10-31,TO,Palmas/TO,17730,188
2020-11-01,TO,Palmas/TO,17734,188
2020-11-02,TO,Palmas/TO,17739,188
2020-11-03,TO,Palmas/TO,17800,189
2020-11-04,TO,Palmas/TO,17829,189
2020-11-05,TO,Palmas/TO,17939,189
2020-11-06,TO,Palmas/TO,17968,189
2020-11-07,TO,Palmas/TO,17981,190
2020-11-08,TO,Palmas/TO,17992,190
2020-11-09,TO,Palmas/TO,18009,191
2020-11-10,TO,Palmas/TO,18057,192
2020-11-11,TO,Palmas/TO,18080,193
2020-11-12,TO,Palmas/TO,18124,193
2020-11-13,TO,Palmas/TO,18173,194
2020-11-14,TO,Palmas/TO,18244,195
