date,state,cases,deaths
2020-03-18,TO,1,0
2020-03-19,TO,1,0
2020-03-20,TO,1,0
2020-03-21,TO,2,0
2020-03-22,TO,5,0
2020-03-23,TO,7,0
2020-03-24,TO,7,0
2020-03-25,TO,7,0
2020-03-26,TO,8,0
2020-03-27,TO,9,0
2020-03-28,TO,9,0
2020-03-29,TO,10,0
2020-03-30,TO,11,0
2020-03-31,TO,12,0
2020-04-01,TO,12,0
2020-04-02,TO,12,0
2020-04-03,TO,13,0
2020-04-04,TO,16,0
2020-04-05,TO,17,0
2020-04-06,TO,19,0
2020-04-07,TO,19,0
2020-04-08,TO,23,0
2020-04-09,TO,23,0
2020-04-10,TO,23,0
2020-04-11,TO,25,0
2020-04-12,TO,26,0
2020-04-13,TO,26,0
2020-04-14,TO,27,0
2020-04-15,TO,29,1
2020-04-16,TO,31,1
2020-04-17,TO,32,1
2020-04-18,TO,33,1
2020-04-19,TO,34,1
2020-04-20,TO,35,2
2020-04-21,TO,37,2
2020-04-22,TO,37,2
2020-04-23,TO,43,2
2020-04-24,TO,50,2
2020-04-25,TO,58,2
2020-04-26,TO,67,2
2020-04-27,TO,79,2
2020-04-28,TO,116,2
2020-04-29,TO,137,3
2020-04-30,TO,164,3
2020-05-01,TO,191,4
2020-05-02,TO,246,4
2020-05-03,TO,267,6
2020-05-04,TO,303,7
2020-05-05,TO,351,9
2020-05-06,TO,423,9
2020-05-07,TO,494,9
2020-05-08,TO,573,9
2020-05-09,TO,688,11
2020-05-10,TO,747,12
2020-05-11,TO,828,14
2020-05-12,TO,932,21
2020-05-13,TO,1029,23
2020-05-14,TO,1179,24
2020-05-15,TO,1279,27
2020-05-16,TO,1382,31
2020-05-17,TO,1496,32
2020-05-18,TO,1646,38
2020-05-19,TO,1809,42
2020-05-20,TO,1976,47
2020-05-21,TO,2205,49
2020-05-22,TO,2430,51
2020-05-23,TO,2430,51
2020-05-24,TO,2696,58
2020-05-25,TO,2696,58
2020-05-26,TO,2858,64
2020-05-27,TO,3277,68
2020-05-28,TO,3277,68
2020-05-29,TO,3611,70
2020-05-30,TO,3981,71
2020-05-31,TO,4176,73
2020-06-01,TO,4345,76
2020-06-02,TO,4483,79
2020-06-03,TO,4698,82
2020-06-04,TO,5182,89
2020-06-05,TO,5505,96
2020-06-06,TO,5644,99
2020-06-07,TO,5644,99
2020-06-08,TO,6052,114
2020-06-09,TO,6257,120
2020-06-10,TO,6529,124
2020-06-11,TO,6744,128
2020-06-12,TO,6931,130
2020-06-13,TO,6972,132
2020-06-14,TO,7137,136
2020-06-15,TO,7309,140
2020-06-16,TO,7573,149
2020-06-17,TO,7774,152
2020-06-18,TO,7956,159
2020-06-19,TO,8203,167
2020-06-20,TO,8354,175
2020-06-21,TO,8477,178
2020-06-22,TO,8766,179
2020-06-23,TO,9098,181
2020-06-24,TO,9425,183
2020-06-25,TO,9681,186
2020-06-26,TO,9966,191
2020-06-27,TO,10228,192
2020-06-28,TO,10359,195
2020-06-29,TO,10764,200
2020-06-30,TO,11222,204
2020-07-01,TO,11454,209
2020-07-02,TO,11736,211
2020-07-03,TO,12282,215
2020-07-04,TO,12476,220
2020-07-05,TO,12640,224
2020-07-06,TO,13004,228
2020-07-07,TO,13440,233
2020-07-08,TO,13845,240
2020-07-09,TO,14509,245
2020-07-10,TO,14939,251
2020-07-11,TO,15132,255
2020-07-12,TO,15307,259
2020-07-13,TO,15723,267
2020-07-14,TO,16031,271
2020-07-15,TO,16672,278
2020-07-16,TO,16954,283
2020-07-17,TO,17209,288
2020-07-18,TO,17773,294
2020-07-19,TO,17898,299
2020-07-20,TO,18354,308
2020-07-21,TO,18850,315
2020-07-22,TO,19423,326
2020-07-23,TO,19965,334
2020-07-24,TO,20920,340
2020-07-25,TO,21767,346
2020-07-26,TO,22106,350
2020-07-27,TO,22851,357
2020-07-28,TO,23517,364
2020-07-29,TO,24278,368
2020-07-30,TO,24824,381
2020-07-31,TO,25346,390
2020-08-01,TO,26434,395
2020-08-02,TO,26998,402
2020-08-03,TO,27664,408
2020-08-04,TO,28312,415
2020-08-05,TO,29539,428
2020-08-06,TO,30358,437
2020-08-07,TO,31103,444
2020-08-08,TO,31663,451
2020-08-09,TO,32289,461
2020-08-10,TO,33047,474
2020-08-11,TO,33766,482
2020-08-12,TO,34409,493
2020-08-13,TO,35403,500
2020-08-14,TO,36478,506
2020-08-15,TO,36989,511
2020-08-16,TO,37856,516
2020-08-17,TO,38845,531
2020-08-18,TO,39832,536
2020-08-19,TO,40786,547
2020-08-20,TO,41848,556
2020-08-21,TO,42839,573
2020-08-22,TO,43596,585
2020-08-23,TO,44273,593
2020-08-24,TO,45400,610
2020-08-25,TO,46364,621
2020-08-26,TO,47558,635
2020-08-27,TO,48580,649
2020-08-28,TO,49651,658
2020-08-29,TO,50373,664
2020-08-30,TO,50694,673
2020-08-31,TO,51629,687
2020-09-01,TO,52125,701
2020-09-02,TO,52938,712
2020-09-03,TO,54013,730
2020-09-04,TO,55075,745
2020-09-05,TO,55513,748
2020-09-06,TO,55906,754
2020-09-07,TO,56223,758
2020-09-08,TO,56684,762
2020-09-09,TO,57899,773
2020-09-10,TO,58658,784
2020-09-11,TO,59395,799
2020-09-12,TO,59722,806
2020-09-13,TO,60035,814
2020-09-14,TO,60725,822
2020-09-15,TO,61271,831
2020-09-16,TO,61683,840
2020-09-17,TO,62498,850
2020-09-18,TO,63167,866
2020-09-19,TO,63423,866
2020-09-20,TO,63544,867
2020-09-21,TO,64273,877
2020-09-22,TO,64787,890
2020-09-23,TO,65354,901
2020-09-24,TO,65994,910
2020-09-25,TO,66516,917
2020-09-26,TO,66710,919
2020-09-27,TO,66865,922
2020-09-28,TO,66865,922
2020-09-29,TO,68003,939
2020-09-30,TO,68606,948
2020-10-01,TO,69008,957
2020-10-02,TO,69398,966
2020-10-03,TO,69419,968
2020-10-04,TO,69478,972
2020-10-05,TO,69587,975
2020-10-06,TO,69969,985
2020-10-07,TO,70347,996
2020-10-08,TO,70704,1002
2020-10-09,TO,71048,1009
2020-10-10,TO,71136,1011
2020-10-11,TO,71195,1012
2020-10-12,TO,71269,1012
2020-10-13,TO,71624,1021
2020-10-14,TO,71984,1030
2020-10-15,TO,72335,1035
2020-10-16,TO,72571,1042
2020-10-17,TO,72594,1044
2020-10-18,TO,72724,1048
2020-10-19,TO,73065,1055
2020-10-20,TO,73314,1063
2020-10-21,TO,73566,1072
2020-10-22,TO,73902,1078
2020-10-23,TO,74118,1082
2020-10-24,TO,74184,1084
2020-10-25,TO,74229,1084
2020-10-26,TO,74500,1089
2020-10-27,TO,74837,1092
2020-10-28,TO,75106,1095
2020-10-29,TO,75425,1097
2020-10-30,TO,75569,1097
2020-10-31,TO,75625,1097
2020-11-01,TO,75648,1097
2020-11-02,TO,75680,1100
2020-11-03,TO,75991,1105
2020-11-04,TO,76175,1108
2020-11-05,TO,76590,1109
2020-11-06,TO,76739,1112
2020-11-07,TO,76805,1114
2020-11-08,TO,76860,1114
2020-11-09,TO,77095,1115
2020-11-10,TO,77306,1120
2020-11-11,TO,77528,1125
2020-11-12,TO,77788,1128
2020-11-13,TO,77972,1133
2020-11-14,TO,78077,1137
2020-11-15,TO,78169,1137
2020-11-16,TO,78364,1141
2020-11-17,TO,78618,1144
2020-11-18,TO,78878,1146
2020-11-19,TO,79158,1147
2020-11-20,TO,79420,1148
2020-11-21,TO,79514,1148
2020-11-22,TO,79612,1148
2020-11-23,TO,79894,1151
2020-11-24,TO,80218,1153
2020-11-25,TO,80450,1155
2020-11-26,TO,80717,1157
2020-11-27,TO,81266,1160
2020-11-28,TO,81469,1162
2020-11-29,TO,81632,1164
2020-11-30,TO,81972,1167
2020-12-01,TO,82295,1170
2020-12-02,TO,82651,1173
2020-12-03,TO,82995,1175
2020-12-04,TO,83300,1179
2020-12-05,TO,83411,1182
2020-12-06,TO,83544,1184
2020-12-07,TO,83948,1187
2020-12-08,TO,84281,1190
2020-12-09,TO,84637,1192
2020-12-10,TO,84963,1195
2020-12-11,TO,85272,1198
2020-12-12,TO,85385,1201
2020-12-13,TO,85549,1203
2020-12-14,TO,85731,1206
2020-12-15,TO,86180,1208
2020-12-16,TO,86585,1210
2020-12-17,TO,86971,1212
2020-12-18,TO,87295,1214
2020-12-19,TO,87478,1216
2020-12-20,TO,87695,1217
2020-12-21,TO,88070,1218
2020-12-22,TO,88376,1219
2020-12-23,TO,88739,1221
2020-12-24,TO,88979,1223
2020-12-25,TO,89140,1224
2020-12-26,TO,89289,1225
2020-12-27,TO,89410,1226
2020-12-28,TO,89794,1229
2020-12-29,TO,90047,1232
2020-12-30,TO,90358,1234
2020-12-31,TO,90536,1236
2021-01-01,TO,90592,1239
2021-01-02,TO,90703,1242
2021-01-03,TO,90860,1244
2021-01-04,TO,91230,1248
2021-01-05,TO,91596,1252
2021-01-06,TO,92000,1257
2021-01-07,TO,92446,1263
2021-01-08,TO,92916,1267
2021-01-09,TO,93099,1270
2021-01-10,TO,93261,1274
2021-01-11,TO,93895,1278
2021-01-12,TO,94381,1286
2021-01-13,TO,94945,1294
2021-01-14,TO,95503,1301
2021-01-15,TO,96058,1308
2021-01-16,TO,96390,1313
2021-01-17,TO,96589,1316
2021-01-18,TO,97196,1323
2021-01-19,TO,97790,1330
2021-01-20,TO,98252,1334
2021-01-21,TO,98787,1338
2021-01-22,TO,99290,1344
2021-01-23,TO,99485,1347
2021-01-24,TO,99623,1348
2021-01-25,TO,100204,1353
2021-01-26,TO,100709,1359
2021-01-27,TO,100709,1359
2021-01-28,TO,100709,1359
