date,state,cases,deaths
2020-03-27,TO,1,0
2020-03-28,TO,1,0
2020-03-29,TO,1,0
2020-03-30,TO,2,0
2020-03-31,TO,3,0
2020-04-01,TO,3,0
2020-04-02,TO,3,0
2020-04-03,TO,3,0
2020-04-04,TO,5,0
2020-04-05,TO,5,0
2020-04-06,TO,6,0
2020-04-07,TO,6,0
2020-04-08,TO,8,0
2020-04-09,TO,8,0
2020-04-10,TO,8,0
2020-04-11,TO,10,0
2020-04-12,TO,10,0
2020-04-13,TO,10,0
2020-04-14,TO,10,0
2020-04-15,TO,10,0
2020-04-16,TO,10,0
2020-04-17,TO,10,0
2020-04-18,TO,10,0
2020-04-19,TO,10,0
2020-04-20,TO,10,1
2020-04-21,TO,12,1
2020-04-22,TO,12,1
2020-04-23,TO,15,1
2020-04-24,TO,20,1
2020-04-25,TO,27,1
2020-04-26,TO,34,1
2020-04-27,TO,42,1
2020-04-28,TO,68,1
2020-04-29,TO,83,1
2020-04-30,TO,103,1
2020-05-01,TO,125,2
2020-05-02,TO,163,2
2020-05-03,TO,180,4
2020-05-04,TO,204,5
2020-05-05,TO,249,7
2020-05-06,TO,299,7
2020-05-07,TO,353,7
2020-05-08,TO,421,7
2020-05-09,TO,530,9
2020-05-10,TO,584,10
2020-05-11,TO,651,12
2020-05-12,TO,734,18
2020-05-13,TO,818,20
2020-05-14,TO,945,21
2020-05-15,TO,1030,24
2020-05-16,TO,1119,28
2020-05-17,TO,1196,29
2020-05-18,TO,1330,34
2020-05-19,TO,1476,38
2020-05-20,TO,1628,43
2020-05-21,TO,1833,45
2020-05-22,TO,2039,47
2020-05-23,TO,2039,47
2020-05-24,TO,2282,53
2020-05-25,TO,2282,53
2020-05-26,TO,2433,58
2020-05-27,TO,2779,61
2020-05-28,TO,2779,61
2020-05-29,TO,3079,63
2020-05-30,TO,3403,64
2020-05-31,TO,3575,66
2020-06-01,TO,3734,68
2020-06-02,TO,3841,71
2020-06-03,TO,4033,74
2020-06-04,TO,4457,81
2020-06-05,TO,4780,88
2020-06-06,TO,4881,91
2020-06-07,TO,4851,91
