b a g i0
3.963336386812027490e-01 7.838422252456238937e+01 2.500000000000000000e-01 2.063054043951467520e+00
3.973654041203323328e-01 2.274193348360599032e+01 2.500000000000000000e-01 2.025674457493598091e+00
3.968828744445354051e-01 1.824453276244990008e+01 2.500000000000000000e-01 2.044157078646132497e+00
3.946148294845824300e-01 2.764311276454373711e+01 2.500000000000000000e-01 2.128068252310056696e+00
3.940331456824269774e-01 7.553001105135911075e+01 2.500000000000000000e-01 2.150524590885276588e+00
3.956293818190225187e-01 3.234880407032291316e+01 2.500000000000000000e-01 2.088745241493884297e+00
3.958156797207716959e-01 8.234002127269839377e+01 2.500000000000000000e-01 2.080294227884430303e+00
3.956333016339763087e-01 8.278112592210477771e+01 2.500000000000000000e-01 2.087000919815636735e+00
3.959808533349515325e-01 1.538142214750363124e+01 2.500000000000000000e-01 2.075208936414444594e+00
3.939065313570156990e-01 3.221576917561340281e+01 2.500000000000000000e-01 2.151386848232757387e+00
3.958568574991325750e-01 6.288438861006443403e+01 2.500000000000000000e-01 2.081274810592797841e+00
3.982700666331378536e-01 3.483588484516754136e+01 2.500000000000000000e-01 1.997991719204760042e+00
3.972561235091438547e-01 1.687591476536133683e+01 2.500000000000000000e-01 2.037718637397852195e+00
3.956074544044120844e-01 9.502459732829588290e+01 2.500000000000000000e-01 2.079441622147985669e+00
3.964254306578486320e-01 3.904802536681452807e+01 2.500000000000000000e-01 2.057383955470225789e+00
3.976642159222955053e-01 9.017692908544808006e+01 2.500000000000000000e-01 2.026541296341513032e+00
3.964285988049506271e-01 5.651327250744254371e+01 2.500000000000000000e-01 2.065173476935653785e+00
3.965384971627334831e-01 9.889554582188884524e+01 2.500000000000000000e-01 2.051349789414319780e+00
3.966557404177482038e-01 5.749292891708619635e+01 2.500000000000000000e-01 2.048574128211740231e+00
3.966172294871824766e-01 2.774706967542666547e+01 2.500000000000000000e-01 2.045534784011466378e+00
3.959123471149464946e-01 6.897517432818719385e+01 2.500000000000000000e-01 2.081015773783204903e+00
3.971582606343866950e-01 8.413386412729120423e+01 2.500000000000000000e-01 2.033516101580587598e+00
3.967211138052740282e-01 3.395712088147384122e+01 2.500000000000000000e-01 2.057605937196943291e+00
3.955800996144755999e-01 3.182618553375198900e+01 2.500000000000000000e-01 2.089065196346810982e+00
3.968969943196698491e-01 7.252366686814404773e+01 2.500000000000000000e-01 2.048710120929829070e+00
3.948523627500360456e-01 5.719087684689277040e+01 2.500000000000000000e-01 2.122497247296749823e+00
3.968969943196698491e-01 7.252366686814404773e+01 2.500000000000000000e-01 2.048710120929829070e+00
3.986536543287229617e-01 2.242754339056510915e+01 2.500000000000000000e-01 1.975636683880594990e+00
3.953788896818529741e-01 8.803258237981054890e+01 2.500000000000000000e-01 2.109269011681254913e+00
3.958395111796366161e-01 5.028267858618082897e+01 2.500000000000000000e-01 2.084592546062764118e+00
3.953663970679881512e-01 8.861031177837183748e+00 2.500000000000000000e-01 2.116449647999493866e+00
3.969979102321928854e-01 4.251548865941531830e+01 2.500000000000000000e-01 2.044361584377159868e+00
3.964360397367517885e-01 8.825197846395957413e+01 2.500000000000000000e-01 2.064642819441580901e+00
3.969900463896249843e-01 5.118051912501267964e+01 2.500000000000000000e-01 2.050538525470541273e+00
3.958621090709127377e-01 5.397024140168718986e+01 2.500000000000000000e-01 2.087280352463703803e+00
3.947387161268298694e-01 3.707750593647904225e+01 2.500000000000000000e-01 2.117201051102123532e+00
3.956430652561429007e-01 9.976256721652320891e+01 2.500000000000000000e-01 2.099134214582347724e+00
3.962019924360184464e-01 1.817367420066166872e+01 2.500000000000000000e-01 2.066115760333546714e+00
3.959867741770933258e-01 3.371354693972771344e+01 2.500000000000000000e-01 2.067194921027991406e+00
3.954538935041084224e-01 1.171142383250177410e+01 2.500000000000000000e-01 2.103795796054534151e+00
3.956936870739058421e-01 5.280006392886928523e+01 2.500000000000000000e-01 2.099927358650792275e+00
3.955374613898008374e-01 6.246524766512273175e+01 2.500000000000000000e-01 2.090937333848911894e+00
3.957897070293450170e-01 2.149635346738504182e+01 2.500000000000000000e-01 2.079491126594597006e+00
3.979513465283485707e-01 3.835890806945348430e+01 2.500000000000000000e-01 2.006747148060324726e+00
3.951243844830183982e-01 8.535973842413146428e+01 2.500000000000000000e-01 2.103049779446296785e+00
3.955513666581271237e-01 3.205544406849962513e+01 2.500000000000000000e-01 2.094110845925232223e+00
3.962019924360184464e-01 1.817367420066166872e+01 2.500000000000000000e-01 2.066115760333546714e+00
3.959717048554289853e-01 7.414822761770670922e+01 2.500000000000000000e-01 2.085883099793005790e+00
3.970582961078125139e-01 5.717736454746324881e+01 2.500000000000000000e-01 2.041668789654453420e+00
3.967121269182490306e-01 9.674076977140204292e+01 2.500000000000000000e-01 2.057229785553686519e+00
3.961138039618161688e-01 2.273578750308244523e+01 2.500000000000000000e-01 2.072106978170179747e+00
3.968123895249934252e-01 1.359862911540606767e+01 2.500000000000000000e-01 2.059821955256441406e+00
3.958888506143055097e-01 2.140045574786070759e+01 2.500000000000000000e-01 2.076585352629807701e+00
