logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.024436532489073750e+15 -1.024436532489079750e+15 1.399999999999999911e+00
-1.024436532489079750e+15 nan -2.500000000000000052e-03 4.000000000000000000e+02 -7.974723529423485000e+14 -7.974723529423545000e+14 1.580000000000000071e+00
-7.974723529423545000e+14 nan -5.000000000000000104e-03 4.000000000000000000e+02 -7.059439368140190000e+14 -7.059439368140250000e+14 1.560000000000000053e+00
-7.059439368140250000e+14 nan -7.499999999999999722e-03 4.000000000000000000e+02 -6.886534360949036250e+14 -6.886534360949096250e+14 1.844999999999999973e+00
-6.886534360949096250e+14 nan -1.000000000000000021e-02 4.000000000000000000e+02 -6.436098710423847500e+14 -6.436098710423907500e+14 1.549999999999999989e-01
-6.436098710423907500e+14 1.028420313329358906e+14 -1.250000000000000069e-02 4.000000000000000000e+02 -5.625515739022495625e+14 -5.625515739022555625e+14 5.350000000000000311e-01
-5.625515739022555625e+14 1.292377286780528125e+14 -1.500000000000000118e-02 4.000000000000000000e+02 -5.105115088532652500e+14 -5.105115088532712500e+14 1.790000000000000036e+00
-5.105115088532712500e+14 1.377560042416791406e+14 -1.750000000000000167e-02 4.000000000000000000e+02 -4.871787143800880000e+14 -4.871787143800940000e+14 4.799999999999999822e-01
-4.871787143800940000e+14 1.469674677930586562e+14 -2.000000000000000042e-02 4.000000000000000000e+02 -4.128327464581945000e+14 -4.128327464582005000e+14 1.010000000000000009e+00
-4.128327464582005000e+14 4.944182015591971094e+13 -2.249999999999999917e-02 4.000000000000000000e+02 -4.079897752689654375e+14 -4.079897752689714375e+14 1.725000000000000089e+00
-4.079897752689714375e+14 2.920459093294400000e+13 -2.499999999999999792e-02 4.000000000000000000e+02 -3.863148046820525000e+14 -3.863148046820585000e+14 1.935000000000000053e+00
-3.863148046820585000e+14 2.756970610833689453e+13 -2.749999999999999667e-02 4.000000000000000000e+02 -3.814623029740450625e+14 -3.814623029740510625e+14 1.549999999999999989e-01
-3.814623029740510625e+14 9.561643330551962891e+12 -2.999999999999999542e-02 4.000000000000000000e+02 -3.681592853080800625e+14 -3.681592853080860625e+14 7.099999999999999645e-01
-3.681592853080860625e+14 1.340022202647818164e+13 -3.249999999999999417e-02 4.000000000000000000e+02 -3.545054451568711250e+14 -3.545054451568771250e+14 1.385000000000000009e+00
-3.545054451568771250e+14 1.653081809299269727e+13 -3.499999999999999639e-02 4.000000000000000000e+02 -3.521817847501901250e+14 -3.521817847501961250e+14 9.649999999999999689e-01
-3.521817847501961250e+14 1.726372637587616406e+13 -3.749999999999999861e-02 4.000000000000000000e+02 -3.360156031326542500e+14 -3.360156031326602500e+14 2.449999999999999956e-01
-3.360156031326602500e+14 1.340913598166164062e+13 -4.000000000000000083e-02 4.000000000000000000e+02 -3.306799951880301250e+14 -3.306799951880361875e+14 4.799999999999999822e-01
-3.306799951880361875e+14 6.617030809993670898e+12 -4.250000000000000305e-02 4.000000000000000000e+02 -3.285571324292807500e+14 -3.285571324292868125e+14 1.300000000000000044e-01
-3.285571324292868125e+14 2.639776178073156250e+12 -4.500000000000000527e-02 4.000000000000000000e+02 -3.118194403293892500e+14 -3.118194403293953125e+14 7.550000000000000044e-01
-3.118194403293953125e+14 9.280725411636773438e+12 -4.750000000000000749e-02 4.000000000000000000e+02 -3.056094203288258125e+14 -3.056094203288318750e+14 2.000000000000000000e+00
-3.056094203288318750e+14 1.156264654499472266e+13 -5.000000000000000971e-02 4.000000000000000000e+02 -2.999289697687902500e+14 -2.999289697687963125e+14 1.495000000000000107e+00
-2.999289697687963125e+14 1.398669363958087891e+13 -5.250000000000001193e-02 4.000000000000000000e+02 -2.973401696941380000e+14 -2.973401696941440625e+14 1.900000000000000022e-01
-2.973401696941440625e+14 1.332313532345474023e+13 -5.500000000000001416e-02 4.000000000000000000e+02 -2.937825618595665000e+14 -2.937825618595725625e+14 1.389999999999999902e+00
-2.937825618595725625e+14 2.367785645904409668e+12 -5.750000000000001638e-02 4.000000000000000000e+02 -2.921947294901298125e+14 -2.921947294901358750e+14 3.800000000000000044e-01
-2.921947294901358750e+14 2.139744150021755127e+12 -6.000000000000001860e-02 4.000000000000000000e+02 -2.874613183152934375e+14 -2.874613183152995000e+14 1.429999999999999938e+00
-2.874613183152995000e+14 2.684046857541341309e+12 -6.250000000000001388e-02 4.000000000000000000e+02 -2.782741606432172500e+14 -2.782741606432233125e+14 1.270000000000000018e+00
-2.782741606432233125e+14 5.664131537289261719e+12 -6.500000000000001610e-02 4.000000000000000000e+02 -2.611941244218887500e+14 -2.611941244218948125e+14 3.500000000000000333e-02
-2.611941244218948125e+14 1.027866419481512695e+13 -6.750000000000001832e-02 4.000000000000000000e+02 -2.603919177306148438e+14 -2.603919177306209062e+14 1.830000000000000071e+00
-2.603919177306209062e+14 1.000411074171640039e+13 -7.000000000000002054e-02 4.000000000000000000e+02 -2.508356625102268125e+14 -2.508356625102328750e+14 1.620000000000000107e+00
-2.508356625102328750e+14 4.876098002052122070e+12 -7.250000000000002276e-02 4.000000000000000000e+02 -2.388421707528738750e+14 -2.388421707528799375e+14 1.879999999999999893e+00
-2.388421707528799375e+14 8.346399489114329102e+12 -7.500000000000002498e-02 4.000000000000000000e+02 -2.241566145914420312e+14 -2.241566145914480938e+14 8.999999999999999667e-02
-2.241566145914480938e+14 1.032689389151903320e+13 -7.750000000000002720e-02 4.000000000000000000e+02 -2.057578107297321875e+14 -2.057578107297382500e+14 9.449999999999999512e-01
