weight logl b a g i0
0.000000000000000000e+00 -1.024436532489073750e+15 1.992325054656801653e+00 3.248108315926775624e+00 2.500000000000000000e-01 1.677954026329080506e+01
0.000000000000000000e+00 -7.974723529423485000e+14 1.472653478733483956e+00 1.720231349040144853e+00 2.500000000000000000e-01 2.374253626072479051e+01
0.000000000000000000e+00 -7.059439368140190000e+14 1.720841961260369590e+00 5.279496905741010160e+00 2.500000000000000000e-01 1.536713804656146465e+01
0.000000000000000000e+00 -6.886534360949036250e+14 1.624867398125738216e+00 3.395750052019196552e+00 2.500000000000000000e-01 3.153039017085390583e+00
0.000000000000000000e+00 -6.436098710423847500e+14 1.464678716087039145e+00 3.524012802061910143e+00 2.500000000000000000e-01 1.964556116439938194e+01
0.000000000000000000e+00 -5.625515739022495625e+14 1.981904422553056211e+00 7.721675658783554219e+00 2.500000000000000000e-01 1.704062087007102155e-01
0.000000000000000000e+00 -5.105115088532652500e+14 1.560462195392223750e+00 6.944002120837486913e+00 2.500000000000000000e-01 1.464059911505705358e+01
0.000000000000000000e+00 -4.871787143800880000e+14 1.394013306433849131e+00 5.065142978115220629e+00 2.500000000000000000e-01 1.795212061100705725e+01
0.000000000000000000e+00 -4.128327464581945000e+14 1.518541871429978984e+00 8.620177853189808559e+00 2.500000000000000000e-01 1.266988884333912679e+01
0.000000000000000000e+00 -4.079897752689654375e+14 1.366510166414091287e+00 6.676295765138379856e+00 2.500000000000000000e-01 2.484224207584216515e+01
0.000000000000000000e+00 -3.863148046820525000e+14 1.657036355846866371e+00 1.164883308586653499e+01 2.500000000000000000e-01 8.166660331252472815e+00
0.000000000000000000e+00 -3.814623029740450625e+14 1.457326091529712153e+00 8.942312097090480805e+00 2.500000000000000000e-01 2.011475382705601334e+01
0.000000000000000000e+00 -3.681592853080800625e+14 1.612210133590666450e+00 9.660666543804692807e+00 2.500000000000000000e-01 1.846756649049990928e+00
0.000000000000000000e+00 -3.545054451568711250e+14 1.448854477208613378e+00 9.031748273996603515e+00 2.500000000000000000e-01 1.202784024464473589e+01
0.000000000000000000e+00 -3.521817847501901250e+14 1.662688726304874853e+00 1.299051441649687000e+01 2.500000000000000000e-01 7.054788038617529011e+00
0.000000000000000000e+00 -3.360156031326542500e+14 1.195897463999314514e+00 4.704014569333153872e+00 2.500000000000000000e-01 1.948881579624564253e+01
0.000000000000000000e+00 -3.306799951880301250e+14 1.256614731310313315e+00 4.189821379113420008e+00 2.500000000000000000e-01 3.730127941281985215e+00
0.000000000000000000e+00 -3.285571324292807500e+14 1.971061076592947936e+00 2.276964854446343978e+01 2.500000000000000000e-01 2.093371548100681068e+01
0.000000000000000000e+00 -3.118194403293892500e+14 1.935233366558174017e+00 2.127317864947751147e+01 2.500000000000000000e-01 6.044810395659666824e+00
0.000000000000000000e+00 -3.056094203288258125e+14 1.780160437751162172e+00 1.930576153327404754e+01 2.500000000000000000e-01 1.515708638947338649e+01
0.000000000000000000e+00 -2.999289697687902500e+14 1.498504149883615799e+00 1.251292725734207778e+01 2.500000000000000000e-01 1.337484521780236335e+01
0.000000000000000000e+00 -2.973401696941380000e+14 1.674113209318890183e+00 1.772336523177506606e+01 2.500000000000000000e-01 2.133316051330642438e+01
0.000000000000000000e+00 -2.937825618595665000e+14 1.125793889656576896e+00 3.728891048399469277e+00 2.500000000000000000e-01 1.495167702057610981e+01
0.000000000000000000e+00 -2.921947294901298125e+14 1.360705223862757052e+00 1.021821756993613306e+01 2.500000000000000000e-01 2.293408286348834224e+01
0.000000000000000000e+00 -2.874613183152934375e+14 1.954115681471399579e+00 2.495119495658881803e+01 2.500000000000000000e-01 1.388371648941333980e+01
0.000000000000000000e+00 -2.782741606432172500e+14 1.616295108720997575e+00 1.689463683334243882e+01 2.500000000000000000e-01 1.497137016193238246e+01
0.000000000000000000e+00 -2.611941244218887500e+14 1.275816122795874419e+00 7.560050182544599373e+00 2.500000000000000000e-01 7.064609518530601484e+00
