weight logl b a g i0
0.000000000000000000e+00 -1.024436532489073750e+15 9.961625273284008264e-01 2.270816480734116904e-02 4.318581417442007853e-01 6.711816105316321668e-01
0.000000000000000000e+00 -7.974723529423485000e+14 7.363267393667419780e-01 7.275064131718633753e-03 2.607158238719715637e-01 9.497014504289916781e-01
0.000000000000000000e+00 -7.059439368140190000e+14 8.604209806301847951e-01 4.322724147213141688e-02 8.991105565841311931e-01 6.146855218624586170e-01
0.000000000000000000e+00 -6.886534360949036250e+14 8.124336990628691080e-01 2.419949547494137931e-02 7.855436122274354060e-01 1.261215606834156233e-01
0.000000000000000000e+00 -6.436098710423847500e+14 7.323393580435195727e-01 2.549507880870616194e-02 9.114581857570586143e-01 7.858224465759753308e-01
0.000000000000000000e+00 -5.625515739022495625e+14 9.909522112765281054e-01 6.789571372508640401e-02 3.156857947798852315e-03 6.816248348028408621e-03
0.000000000000000000e+00 -5.105115088532652500e+14 7.802310976961118749e-01 6.004042546300492056e-02 7.859710547303222494e-02 5.856239646022821654e-01
0.000000000000000000e+00 -4.871787143800880000e+14 6.970066532169245654e-01 4.106205028399212420e-02 3.122109199503058097e-01 7.180848244402823211e-01
0.000000000000000000e+00 -4.128327464581945000e+14 7.592709357149894922e-01 7.697149346656373403e-02 5.508321764247261498e-01 5.067955537335651073e-01
0.000000000000000000e+00 -4.079897752689654375e+14 6.832550832070456437e-01 5.733632085998363603e-02 1.637439713837175459e-01 9.936896830336865438e-01
0.000000000000000000e+00 -3.863148046820525000e+14 8.285181779234331856e-01 1.075639705643084421e-01 7.427974594318985657e-01 3.266664132500989304e-01
0.000000000000000000e+00 -3.814623029740450625e+14 7.286630457648560766e-01 8.022537471808566245e-02 4.629168064371244062e-01 8.045901530822404668e-01
0.000000000000000000e+00 -3.681592853080800625e+14 8.061050667953332249e-01 8.748148024045143689e-02 3.297008561679317662e-01 7.387026596199963713e-02
0.000000000000000000e+00 -3.545054451568711250e+14 7.244272386043066891e-01 8.112877044441013652e-02 8.423699638884473151e-01 4.811136097857894312e-01
0.000000000000000000e+00 -3.521817847501901250e+14 8.313443631524374267e-01 1.211163072373421246e-01 4.906399350300236772e-01 2.821915215447011738e-01
0.000000000000000000e+00 -3.360156031326542500e+14 5.979487319996572570e-01 3.741428857912276751e-02 7.091181736443188388e-01 7.795526318498257057e-01
0.000000000000000000e+00 -3.306799951880301250e+14 6.283073656551566577e-01 3.222041797084262971e-02 1.514234555149529537e-02 1.492051176512794175e-01
0.000000000000000000e+00 -3.285571324292807500e+14 9.855305382964739680e-01 2.198954398430650325e-01 4.145500915209801018e-01 8.373486192402724848e-01
0.000000000000000000e+00 -3.118194403293892500e+14 9.676166832790870087e-01 2.047795823179546781e-01 7.549109909698933363e-01 2.417924158263866641e-01
0.000000000000000000e+00 -3.056094203288258125e+14 8.900802188755810862e-01 1.849066821542832972e-01 5.570182425195676634e-01 6.062834555789354818e-01
